"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"2","5575-GNVDE","Male","No","No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"No","25-60","45-70","1000-2000",0
"3","3668-QPYBK","Male","No","No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"Yes","< 3","45-70","<1000",1
"5","9237-HQITU","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"Yes","< 3","70-80","<1000",1
"6","9305-CDSKC","Female","No","No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"Yes","7-11","95+","<1000",1
"7","1452-KIOVK","Male","No","No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"No","19-24","80-95","1000-2000",0
"9","7892-POOKP","Female","No","Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes","25-60","95+","2000-4000",1
"10","6388-TABGU","Male","No","No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"No","60+","45-70","2000-4000",0
"11","9763-GRSKD","Male","No","Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45,"No","12-18","45-70","<1000",0
"12","7469-LKBCI","Male","No","No","No",16,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",18.95,326.8,"No","12-18","15-30","<1000",0
"13","8091-TTVAX","Male","No","Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,5681.1,"No","25-60","95+","4000-6000",0
"14","0280-XJGEX","Male","No","No","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes","25-60","95+","4000-6000",1
"15","5129-JLPIS","Male","No","No","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05,"No","25-60","95+","2000-4000",0
"16","3655-SNQYZ","Female","No","Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"No","60+","95+","6000+",0
"17","8191-XWSZG","Female","No","No","No",52,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,1022.95,"No","25-60","15-30","1000-2000",0
"18","9959-WOFKT","Male","No","No","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.7,7382.25,"No","60+","95+","6000+",0
"19","4190-MFLUW","Female","No","Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes","7-11","45-70","<1000",1
"20","4183-MYFRB","Female","No","No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"No","19-24","80-95","1000-2000",0
"22","1680-VDCWW","Male","No","Yes","No",12,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,202.25,"No","12-18","15-30","<1000",0
"23","1066-JKSGK","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.15,20.15,"Yes","< 3","15-30","<1000",1
"24","3638-WEABW","Female","No","Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,3505.1,"No","25-60","45-70","2000-4000",0
"25","6322-HRPFA","Male","No","Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"No","25-60","45-70","2000-4000",0
"26","6865-JZNKO","Female","No","No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"No","25-60","45-70","1000-2000",0
"27","6467-CHFZW","Male","No","Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes","25-60","95+","4000-6000",1
"29","5248-YGIJN","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"No","60+","80-95","6000+",0
"30","8773-HHUOZ","Female","No","No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes","12-18","45-70","1000-2000",1
"31","3841-NFECX","Female","Yes","Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95,"No","60+","95+","6000+",0
"32","4929-XIHVW","Male","Yes","Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No","< 3","95+","<1000",0
"33","6827-IEAUQ","Female","No","Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"No","25-60","45-70","1000-2000",0
"34","7310-EGVHZ","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"No","< 3","15-30","<1000",0
"35","3413-BMNZE","Male","Yes","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No","< 3","45-70","<1000",0
"36","6234-RAAPL","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,7251.7,"No","60+","95+","6000+",0
"37","6047-YHPVI","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes","3-6","45-70","<1000",1
"38","6572-ADKRS","Female","No","No","No",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"No","25-60","70-80","2000-4000",0
"39","5380-WJKOV","Male","No","No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes","25-60","95+","2000-4000",1
"40","8168-UQWWF","Female","No","No","No",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","7-11","95+","1000-2000",1
"41","8865-TNMNX","Male","No","Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,475.7,"No","7-11","45-70","<1000",0
